Source,Target,Weight
100416666,171911848,1
100416666,157796202,1
108061750,142482386,1
108061750,142482504,1
108061750,137706578,1
108061750,142482450,1
108061750,171911848,1
108061750,157796202,1
108061750,179947584,1
142482386,142482504,1
142482386,137706578,1
142482386,142482450,1
142482386,171911848,1
142482386,157796202,1
142482386,179947584,1
142482504,137706578,1
142482504,142482450,1
142482504,171911848,1
137706578,142482450,1
137706578,171911848,1
159982500,69607676,1
61150566,136920144,1
61150566,49212830,1
61150566,127402204,1
136920144,49212830,1
136920144,127402204,1
49212830,127402204,1
231704818,15728868,1
31272682,22823560,1
31272682,26806666,1
22823560,26806666,1
21369818,68560336,1
21369818,21215080,1
21369818,64292038,1
68560336,21215080,1
68560336,29915266,1
68560336,64292038,1
30184852,43174498,1
30184852,33749744,1
30184852,33750022,1
30184852,144686482,1
30184852,40646546,1
30184852,193552014,1
59199762,54011648,1
59199762,58847912,1
59199762,2001556,1
24280088,12343762,1
24280088,54592220,1
12343762,54592220,1
7703978,9908120,1
22476740,167024586,1
22476740,59386490,1
22476740,55811296,1
22476740,124709738,1
22476740,62216962,1
88524944,116853952,1
20930462,16943602,1
20930462,21824210,1
20930462,8685976,1
20930462,33648762,1
20930462,15886866,1
20930462,19953570,1
20930462,35604086,1
20930462,168884486,1
20930462,167192466,1
16943602,21824210,1
16943602,19953570,1
16943602,167192466,1
16943602,8685976,1
16943602,33648762,1
16943602,15886866,1
16943602,35604086,1
16943602,168884486,1
21743910,64571342,1
38001366,233510874,1
101519498,176950736,1
18267376,37757776,1
18267376,1706068,1
20342706,153292856,1
20124474,60455288,1
124597558,14626520,1
127796612,6359564,1
127796612,21103474,1
127796612,29930378,1
127796612,9922414,1
6359564,21103474,1
6359564,29930378,1
6359564,9922414,1
21103474,29930378,1
21103474,9922414,1
44647096,16774176,1
44647096,195277202,1
73294582,97204718,1
24100508,24783292,1
24100508,9850754,1
24100508,33252432,1
24100508,96943894,1
24100508,70241150,1
24783292,9850754,1
24783292,33252432,1
24783292,96943894,1
24783292,14922358,1
24783292,9850750,1
36579602,14062228,1
22820894,46651832,1
59883256,137684294,1
59883256,214676082,1
59883256,116748550,1
137684294,214676082,1
137684294,116748550,1
214676082,116748550,1
37410912,72604490,1
62508816,100288436,1
62508816,52456658,1
100288436,52456658,1
37730034,157178968,1
171597584,24986518,1
111752920,166020500,1
17997190,31069084,1
138196066,5421234,1
3626072,33386856,1
3626072,11240268,1
3626072,4420434,1
3626072,12106666,1
3626072,12106660,1
3626072,33080960,1
3626072,33187932,1
33386856,11240268,1
33386856,4420434,1
33386856,12106666,1
33386856,12106660,1
33386856,33080960,1
33386856,33187932,1
33386856,81139098,1
33386856,10499846,1
33386856,64064070,1
11240268,4420434,1
11240268,12106666,1
11240268,12106660,1
11240268,33080960,1
11240268,33187932,1
11240268,81139098,1
11240268,10499846,1
11240268,64064070,1
4420434,12106666,1
4420434,12106660,1
4420434,33080960,1
4420434,33187932,1
4420434,81139098,1
4420434,10499846,1
4420434,64064070,1
12106666,12106660,1
12106666,33080960,1
12106666,33187932,1
12106666,81139098,1
12106666,10499846,1
12106666,64064070,1
90427348,44400132,1
90427348,59574308,1
90427348,373990,1
44400132,59574308,1
60776034,34134118,1
60776034,235486872,1
46500758,47453062,1
23547556,38593288,1
24123684,81575400,1
24123684,40669950,1
24123684,75572936,1
24123684,111620232,1
24123684,15754096,1
24123684,48424348,1
24123684,38448824,1
24123684,40590540,1
24123684,39385426,1
81575400,40669950,1
81575400,75572936,1
81575400,111620232,1
81575400,15754096,1
81575400,48424348,1
81575400,38448824,1
40669950,75572936,1
40669950,111620232,1
40669950,15754096,1
40669950,48424348,1
40669950,38448824,1
40669950,40590540,1
40669950,39385426,1
75572936,111620232,1
75572936,15754096,1
75572936,48424348,1
75572936,38448824,1
111620232,15754096,1
111620232,48424348,1
111620232,38448824,1
111620232,40590540,1
15754096,48424348,1
15754096,38448824,1
15754096,40590540,1
15754096,39385426,1
48424348,38448824,1
48424348,40590540,1
48424348,39385426,1
109783278,100542588,1
11421644,51881026,1
39032726,28994966,1
39032726,35043504,1
39032726,30555728,1
39032726,35840836,1
28994966,35043504,1
28994966,30555728,1
28994966,35840836,1
35043504,30555728,1
151526918,168883602,1
160653140,43379034,1
159751638,58419354,1
172729834,200363620,1
172729834,185029626,1
172729834,167733370,1
172729834,49068542,1
200363620,185029626,1
44183056,116976460,1
79396916,214811302,1
79396916,19367744,1
145081654,190700352,1
145081654,163436900,1
43645134,43485254,1
43645134,116418278,1
43645134,31125604,1
43645134,123886600,1
43645134,3196194,1
43485254,116418278,1
43485254,3196194,1
43485254,31125604,1
43485254,123886600,1
30875592,18620372,1
94527648,158641210,1
44316622,130938198,1
44316622,13873714,1
130938198,13873714,1
16323772,8431322,1
16323772,26653162,1
16323772,7314602,1
16323772,8350248,1
16323772,16323770,1
8431322,26653162,1
8431322,7314602,1
8431322,8350248,1
8431322,16323770,1
8431322,11588482,1
26653162,7314602,1
26653162,8350248,1
26653162,16323770,1
26653162,6375210,1
7314602,8350248,1
7314602,16323770,1
7314602,11588482,1
32873084,101006966,1
130050230,130096166,1
142755160,80386958,1
687770,12373840,1
687770,32622184,1
125928170,201663728,1
125928170,125961530,1
125928170,125511538,1
125928170,191490372,1
125928170,201622000,1
125928170,183747846,1
161887534,17424070,1
169778022,179526994,1
169778022,109213358,1
169778022,1476402,1
169778022,126186596,1
169778022,50982300,1
169778022,127013362,1
169758664,170644228,1
169758664,88345298,1
169758664,165232544,1
169758664,170678534,1
169758664,163221168,1
169758664,180820204,1
169758664,186428402,1
169758664,220413760,1
169758664,102632172,1
169758664,171234518,1
169758664,171208602,1
170644228,88345298,1
170644228,165232544,1
170644228,170678534,1
170644228,163221168,1
170644228,180820204,1
170644228,186428402,1
170644228,220413760,1
170644228,102632172,1
170644228,171234518,1
170644228,171208602,1
88345298,165232544,1
88345298,170678534,1
88345298,186428402,1
88345298,171234518,1
88345298,180820204,1
88345298,163221168,1
24987170,74216296,1
170194938,78358494,1
25266104,83438808,1
185990002,75063710,1
127001612,69149356,1
22790384,55210724,1
22790384,12410074,1
22790384,17808696,1
22790384,152996872,1
22790384,174920644,1
22790384,81758470,1
22790384,63933034,1
22790384,82679754,1
22790384,194254626,1
22790384,174915602,1
22790384,63944100,1
131570794,100209154,1
196458484,151638534,1
196458484,194095836,1
196458484,119997872,1
196458484,151721054,1
196458484,212757934,1
196458484,191795264,1
196458484,194086682,1
196458484,211039632,1
196458484,196455448,1
196458484,111639088,1
196458484,54245162,1
196458484,190839792,1
196458484,211043524,1
196458484,190959038,1
196458484,214363586,1
196458484,191882992,1
196458484,198370552,1
196458484,160490154,1
196458484,193816540,1
196458484,188891110,1
196458484,133681262,1
196458484,196453286,1
196458484,196060884,1
196458484,134536392,1
196458484,193806206,1
196458484,163141272,1
196458484,193809422,1
196458484,155905846,1
196458484,188887846,1
196458484,133691794,1
196458484,175023142,1
196458484,188889476,1
151638534,194095836,1
151638534,119997872,1
151638534,151721054,1
151638534,212757934,1
151638534,191795264,1
151638534,194086682,1
151638534,211039632,1
151638534,196453286,1
151638534,111639088,1
151638534,196060884,1
151638534,54245162,1
151638534,188887846,1
151638534,198370552,1
151638534,196455448,1
151638534,172028906,1
151638534,173441426,1
151638534,151715832,1
151638534,220434718,1
151638534,134536392,1
151638534,158327156,1
151638534,191882992,1
151638534,190839792,1
151638534,193809422,1
151638534,172026794,1
151638534,188889476,1
151638534,172015938,1
151638534,176511826,1
151638534,172197650,1
151638534,151600810,1
151638534,211043524,1
151638534,190959038,1
151638534,214363586,1
151638534,160490154,1
151638534,193816540,1
151638534,188891110,1
151638534,133681262,1
151638534,175016668,1
151638534,175023142,1
151638534,119996376,1
151638534,155905846,1
151638534,193806206,1
151638534,175018784,1
151638534,151647106,1
151638534,151712320,1
151638534,166821784,1
151638534,163141272,1
151638534,155878980,1
151638534,133685108,1
151638534,173439908,1
151638534,122669574,1
151638534,137844908,1
151638534,214339686,1
151638534,173441744,1
151638534,172973368,1
151638534,105701462,1
194095836,119997872,1
194095836,151721054,1
194095836,212757934,1
194095836,191795264,1
194095836,194086682,1
194095836,211039632,1
194095836,173439908,1
194095836,173441426,1
194095836,133685108,1
194095836,155905846,1
194095836,220434718,1
194095836,214363586,1
194095836,133681262,1
194095836,158327156,1
194095836,119996376,1
194095836,173440788,1
194095836,194103382,1
194095836,173441744,1
194095836,176511826,1
194095836,151600810,1
194095836,67034514,1
194095836,163141272,1
194095836,119999308,1
194095836,122669574,1
194095836,172973368,1
194095836,137844908,1
194095836,105701462,1
194095836,194254404,1
194095836,172197650,1
194095836,198370552,1
194095836,151712320,1
194095836,188889476,1
194095836,166821784,1
194095836,175023142,1
194095836,188887846,1
194095836,160490154,1
194095836,214339686,1
194095836,155878980,1
194095836,175016668,1
119997872,151721054,1
119997872,212757934,1
119997872,191795264,1
119997872,194086682,1
119997872,211039632,1
119997872,172028906,1
119997872,188887846,1
119997872,173441426,1
119997872,151715832,1
119997872,196455448,1
119997872,220434718,1
119997872,134536392,1
119997872,196453286,1
119997872,158327156,1
119997872,191882992,1
119997872,190839792,1
119997872,193809422,1
119997872,111639088,1
119997872,172026794,1
119997872,188889476,1
119997872,172015938,1
119997872,176511826,1
119997872,196060884,1
119997872,54245162,1
119997872,211043524,1
119997872,190959038,1
119997872,214363586,1
119997872,198370552,1
119997872,160490154,1
119997872,193816540,1
119997872,188891110,1
119997872,133681262,1
119997872,175016668,1
119997872,175023142,1
119997872,119996376,1
119997872,155905846,1
119997872,193806206,1
119997872,175018784,1
119997872,151647106,1
119997872,105701462,1
119997872,173441744,1
119997872,194103382,1
119997872,194254404,1
119997872,151712320,1
119997872,214339686,1
119997872,133691794,1
119997872,173440788,1
119997872,166821784,1
119997872,155878980,1
119997872,133685108,1
119997872,192376870,1
151721054,212757934,1
151721054,191795264,1
151721054,194086682,1
151721054,211039632,1
151721054,151715832,1
151721054,151712320,1
151721054,196455448,1
151721054,111639088,1
151721054,54245162,1
151721054,190839792,1
151721054,211043524,1
151721054,190959038,1
151721054,214363586,1
151721054,191882992,1
151721054,198370552,1
151721054,160490154,1
151721054,193816540,1
151721054,188891110,1
151721054,133681262,1
151721054,196453286,1
151721054,196060884,1
151721054,134536392,1
151721054,175016668,1
151721054,175023142,1
151721054,119996376,1
151721054,155905846,1
151721054,193806206,1
151721054,175018784,1
151721054,151647106,1
151721054,172015938,1
151721054,105701462,1
151721054,173441744,1
151721054,194103382,1
151721054,194254404,1
151721054,172028906,1
151721054,172026794,1
151721054,166821784,1
151721054,173441426,1
151721054,163141272,1
151721054,155878980,1
151721054,133685108,1
151721054,172197650,1
151721054,173439908,1
151721054,220434718,1
151721054,7614170,1
151721054,194295108,1
151721054,65446000,1
151721054,24744054,1
151721054,191305622,1
151721054,164961906,1
151721054,167424800,1
151721054,105567272,1
151721054,119999308,1
151721054,209489958,1
151721054,114384168,1
151721054,165137610,1
151721054,214339686,1
151721054,133691794,1
151721054,176511826,1
151721054,188887846,1
151721054,188889476,1
151721054,173440788,1
212757934,191795264,1
212757934,194086682,1
212757934,211039632,1
212757934,172028906,1
212757934,188887846,1
212757934,173441426,1
212757934,151715832,1
212757934,196455448,1
212757934,220434718,1
212757934,134536392,1
212757934,196453286,1
212757934,158327156,1
212757934,191882992,1
212757934,190839792,1
212757934,193809422,1
212757934,111639088,1
212757934,172026794,1
212757934,188889476,1
212757934,54245162,1
212757934,227745334,1
212757934,211043524,1
212757934,172015938,1
212757934,105701462,1
212757934,190959038,1
212757934,214363586,1
212757934,198370552,1
212757934,160490154,1
212757934,193816540,1
212757934,188891110,1
212757934,133681262,1
212757934,196060884,1
212757934,194103382,1
212757934,151712320,1
212757934,173440788,1
191795264,194086682,1
191795264,211039632,1
191795264,172028906,1
191795264,188887846,1
191795264,173441426,1
191795264,151715832,1
191795264,196455448,1
191795264,220434718,1
191795264,134536392,1
191795264,196453286,1
191795264,158327156,1
191795264,191882992,1
191795264,190839792,1
191795264,193809422,1
191795264,111639088,1
191795264,172026794,1
191795264,188889476,1
191795264,172015938,1
191795264,176511826,1
191795264,196060884,1
191795264,194103382,1
191795264,211043524,1
191795264,151712320,1
191795264,54245162,1
191795264,173440788,1
191795264,175018784,1
191795264,133685108,1
191795264,119999308,1
191795264,133681262,1
191795264,160490154,1
191795264,133691794,1
191795264,163141272,1
191795264,193816540,1
191795264,198370552,1
191795264,227745334,1
191795264,172973368,1
191795264,105701462,1
194086682,211039632,1
194086682,194103382,1
194086682,211043524,1
194086682,188887846,1
194086682,196060884,1
194086682,151712320,1
194086682,134536392,1
194086682,54245162,1
194086682,173440788,1
194086682,191882992,1
194086682,151600810,1
194086682,119999308,1
194086682,122669574,1
194086682,133685108,1
194086682,172973368,1
194086682,176511826,1
194086682,137844908,1
194086682,105701462,1
194086682,158327156,1
194086682,173441744,1
194086682,194254404,1
194086682,172197650,1
194086682,155878980,1
194086682,173441426,1
194086682,214363586,1
194086682,119996376,1
194086682,175023142,1
194086682,198370552,1
194086682,160490154,1
194086682,214339686,1
194086682,166821784,1
194086682,133681262,1
194086682,155905846,1
194086682,175016668,1
20992622,31218180,1
166999340,193629190,1
60847578,182125386,1
219180800,9357292,1
100837340,216570462,1
10677850,54016060,1
10677850,177446854,1
177106670,157907418,1
193662722,161376980,1
193662722,184227546,1
193662722,167971096,1
193662722,18670822,1
193662722,44245774,1
193662722,168233106,1
193662722,8953770,1
193662722,122213540,1
193662722,47364748,1
193662722,95881418,1
193662722,189349120,1
193662722,166571306,1
193662722,7638046,1
193662722,105995362,1
193662722,165184892,1
193662722,186871478,1
161376980,184227546,1
161376980,167971096,1
161376980,18670822,1
161376980,44245774,1
161376980,168233106,1
161376980,8953770,1
161376980,122213540,1
161376980,47364748,1
161376980,95881418,1
161376980,189349120,1
161376980,166571306,1
161376980,7638046,1
161376980,105995362,1
161376980,165184892,1
161376980,186871478,1
161376980,204016354,1
161376980,206880902,1
161376980,154498686,1
161376980,58578384,1
161376980,106010800,1
161376980,223140648,1
161376980,160454154,1
161376980,193162948,1
161376980,164835878,1
161376980,142520834,1
161376980,83908152,1
161376980,230690634,1
161376980,235064130,1
161376980,219218328,1
161376980,184539128,1
161376980,6646036,1
184227546,167971096,1
184227546,18670822,1
184227546,44245774,1
184227546,168233106,1
184227546,8953770,1
184227546,122213540,1
184227546,47364748,1
184227546,95881418,1
184227546,189349120,1
184227546,166571306,1
184227546,7638046,1
184227546,105995362,1
184227546,165184892,1
184227546,186871478,1
184227546,168948148,1
167971096,18670822,1
167971096,44245774,1
167971096,168233106,1
167971096,8953770,1
167971096,122213540,1
167971096,47364748,1
167971096,95881418,1
167971096,189349120,1
167971096,166571306,1
167971096,7638046,1
167971096,105995362,1
167971096,165184892,1
167971096,186871478,1
167971096,204016354,1
167971096,206880902,1
167971096,154498686,1
167971096,58578384,1
167971096,106010800,1
167971096,223140648,1
167971096,160454154,1
167971096,193162948,1
167971096,164835878,1
167971096,142520834,1
167971096,83908152,1
167971096,230690634,1
167971096,235064130,1
167971096,124161752,1
167971096,198534082,1
167971096,152518280,1
167971096,157015006,1
167971096,138471948,1
167971096,163981318,1
167971096,235061174,1
167971096,92160384,1
167971096,69520406,1
167971096,231709652,1
167971096,154450128,1
167971096,141407538,1
18670822,44245774,1
18670822,168233106,1
18670822,8953770,1
18670822,122213540,1
18670822,47364748,1
18670822,95881418,1
18670822,189349120,1
18670822,166571306,1
18670822,7638046,1
18670822,105995362,1
18670822,165184892,1
18670822,186871478,1
18670822,24744054,1
18670822,24399608,1
18670822,18382140,1
44245774,168233106,1
44245774,8953770,1
44245774,122213540,1
44245774,47364748,1
44245774,95881418,1
44245774,189349120,1
44245774,166571306,1
44245774,7638046,1
44245774,105995362,1
44245774,165184892,1
44245774,186871478,1
44245774,113969988,1
44245774,41175112,1
44245774,109174068,1
44245774,115861062,1
44245774,90473728,1
44245774,90416414,1
168233106,8953770,1
168233106,122213540,1
168233106,47364748,1
168233106,95881418,1
168233106,189349120,1
168233106,166571306,1
168233106,7638046,1
168233106,105995362,1
168233106,165184892,1
168233106,186871478,1
168233106,209633306,1
168233106,132858588,1
168233106,170585998,1
8953770,122213540,1
8953770,47364748,1
8953770,95881418,1
8953770,189349120,1
8953770,166571306,1
8953770,7638046,1
8953770,105995362,1
8953770,165184892,1
8953770,186871478,1
8953770,17098040,1
8953770,1296418,1
122213540,47364748,1
122213540,95881418,1
122213540,189349120,1
122213540,166571306,1
122213540,7638046,1
122213540,105995362,1
122213540,165184892,1
122213540,186871478,1
47364748,95881418,1
47364748,189349120,1
47364748,166571306,1
47364748,7638046,1
47364748,105995362,1
47364748,165184892,1
47364748,186871478,1
95881418,189349120,1
95881418,166571306,1
95881418,7638046,1
95881418,105995362,1
95881418,165184892,1
95881418,186871478,1
95881418,48780522,1
95881418,48998418,1
189349120,166571306,1
189349120,7638046,1
189349120,105995362,1
189349120,165184892,1
189349120,186871478,1
189349120,190516858,1
166571306,7638046,1
166571306,105995362,1
166571306,165184892,1
166571306,186871478,1
166571306,215603796,1
166571306,201515184,1
7638046,105995362,1
7638046,165184892,1
7638046,186871478,1
7638046,23196102,1
105995362,165184892,1
105995362,186871478,1
105995362,119675798,1
105995362,194295108,1
105995362,154498686,1
105995362,163781376,1
105995362,194289224,1
105995362,134117838,1
105995362,153864472,1
105995362,113429594,1
105995362,75278622,1
105995362,146279018,1
105995362,124172790,1
105995362,113425638,1
165184892,186871478,1
165184892,223608314,1
165184892,231709652,1
165184892,184569692,1
165184892,63331410,1
165184892,162272734,1
165184892,233742150,1
165184892,107822320,1
165184892,141512844,1
165184892,170682476,1
165184892,182488118,1
165184892,33916286,1
165184892,228929148,1
165184892,157986506,1
165184892,55552812,1
165184892,76920078,1
165184892,194289224,1
165184892,216110526,1
165184892,138471948,1
165184892,169525596,1
165184892,96943894,1
165184892,58446810,1
165184892,70602324,1
165184892,157015006,1
165184892,182709914,1
234998168,234829112,1
162123430,138666980,1
167295622,58347938,1
137392882,121408634,1
168553440,210115960,1
168553440,88656350,1
168553440,115265466,1
168553440,131832008,1
168553440,212969254,1
168553440,121679234,1
168553440,164737404,1
210115960,88656350,1
210115960,115265466,1
210115960,212969254,1
210115960,131832008,1
210115960,170590658,1
88656350,115265466,1
88656350,212969254,1
88656350,131832008,1
88656350,61573648,1
88656350,170590658,1
88656350,187232030,1
88656350,121679234,1
88656350,79959364,1
88656350,101527182,1
88656350,222687276,1
119999308,194254404,1
119999308,188889476,1
119999308,133691794,1
119999308,172197650,1
119999308,163141272,1
119999308,173441744,1
119999308,122669574,1
119999308,214372250,1
119999308,67034514,1
119999308,151600810,1
119999308,133685108,1
119999308,172973368,1
119999308,176511826,1
119999308,137844908,1
119999308,105701462,1
119999308,158327156,1
119999308,194103382,1
119999308,7614170,1
119999308,193806206,1
119999308,194295108,1
119999308,65446000,1
119999308,24744054,1
119999308,191305622,1
119999308,172026794,1
119999308,164961906,1
119999308,167424800,1
119999308,105567272,1
119999308,209489958,1
119999308,114384168,1
119999308,165137610,1
119999308,134536392,1
119999308,172015938,1
119999308,173440788,1
119999308,111639088,1
119999308,155878980,1
119999308,151715832,1
119999308,54245162,1
119999308,196453286,1
119999308,196060884,1
119999308,193816540,1
119999308,172028906,1
119999308,160490154,1
119999308,155905846,1
119999308,196455448,1
119999308,166821784,1
119999308,214363586,1
119999308,173441426,1
194254404,188889476,1
194254404,133691794,1
194254404,172197650,1
194254404,163141272,1
194254404,173441744,1
194254404,191882992,1
194254404,172015938,1
194254404,105701462,1
194254404,194103382,1
194254404,175016668,1
194254404,133681262,1
194254404,151600810,1
194254404,122669574,1
194254404,133685108,1
194254404,172973368,1
194254404,176511826,1
194254404,137844908,1
194254404,158327156,1
194254404,214363586,1
194254404,193816540,1
194254404,166821784,1
194254404,155878980,1
194254404,196453286,1
194254404,173440788,1
194254404,214339686,1
188889476,133691794,1
188889476,172197650,1
188889476,163141272,1
188889476,173441744,1
188889476,172028906,1
188889476,188887846,1
188889476,173441426,1
188889476,151715832,1
188889476,196455448,1
188889476,220434718,1
188889476,134536392,1
188889476,196453286,1
188889476,158327156,1
188889476,191882992,1
188889476,190839792,1
188889476,193809422,1
188889476,111639088,1
188889476,172026794,1
188889476,54245162,1
188889476,151712320,1
188889476,198370552,1
188889476,133681262,1
188889476,151647106,1
188889476,175018784,1
188889476,175016668,1
188889476,188891110,1
188889476,193816540,1
188889476,151600810,1
188889476,122669574,1
188889476,137844908,1
188889476,176511826,1
188889476,119996376,1
188889476,214339686,1
188889476,190959038,1
188889476,175023142,1
188889476,196060884,1
188889476,155905846,1
188889476,155878980,1
188889476,227745334,1
133691794,172197650,1
133691794,163141272,1
133691794,173441744,1
133691794,134536392,1
133691794,175023142,1
133691794,119996376,1
133691794,172028906,1
133691794,196453286,1
133691794,172015938,1
133691794,111639088,1
133691794,175018784,1
133691794,173440788,1
133691794,105701462,1
133691794,151712320,1
133691794,54245162,1
133691794,214339686,1
133691794,198370552,1
133691794,175016668,1
133691794,160490154,1
133691794,196060884,1
133691794,155905846,1
133691794,188891110,1
133691794,190839792,1
133691794,151715832,1
133691794,133681262,1
133691794,196455448,1
133691794,191882992,1
133691794,193809422,1
133691794,214363586,1
133691794,188887846,1
133691794,166821784,1
133691794,172973368,1
133691794,122669574,1
133691794,176511826,1
133691794,137844908,1
172197650,163141272,1
172197650,173441744,1
172197650,151600810,1
172197650,220434718,1
172197650,122669574,1
172197650,214372250,1
172197650,67034514,1
172197650,133681262,1
172197650,133685108,1
172197650,172973368,1
172197650,176511826,1
172197650,137844908,1
172197650,105701462,1
172197650,158327156,1
172197650,194103382,1
172197650,166821784,1
172197650,173441426,1
172197650,172026794,1
172197650,196453286,1
172197650,196060884,1
172197650,198370552,1
172197650,111639088,1
172197650,155878980,1
172197650,190959038,1
172197650,173439908,1
172197650,214363586,1
172197650,188887846,1
172197650,191882992,1
172197650,119996376,1
172197650,172028906,1
172197650,190839792,1
172197650,214339686,1
172197650,188891110,1
172197650,193816540,1
172197650,134536392,1
172197650,151715832,1
172197650,175023142,1
172197650,155905846,1
172197650,172015938,1
172197650,196455448,1
172197650,151712320,1
172197650,193809422,1
172197650,173440788,1
163141272,173441744,1
163141272,151600810,1
163141272,67034514,1
163141272,134536392,1
163141272,175023142,1
163141272,166821784,1
163141272,173441426,1
163141272,172026794,1
163141272,196453286,1
163141272,196060884,1
163141272,198370552,1
163141272,111639088,1
163141272,155878980,1
163141272,133685108,1
163141272,190959038,1
163141272,173439908,1
163141272,220434718,1
163141272,133681262,1
163141272,151647106,1
163141272,175018784,1
163141272,175016668,1
163141272,188891110,1
163141272,193816540,1
163141272,188887846,1
163141272,196455448,1
163141272,54245162,1
163141272,191882992,1
163141272,190839792,1
163141272,193809422,1
163141272,155905846,1
163141272,214363586,1
163141272,172973368,1
163141272,172015938,1
163141272,122669574,1
163141272,158327156,1
163141272,227745334,1
163141272,160490154,1
163141272,173440788,1
163141272,176511826,1
151205176,192694886,1
151205176,121826586,1
192694886,121826586,1
31666270,87985104,1
58176062,28338442,1
58176062,39608776,1
58176062,24903510,1
58176062,136863348,1
58176062,209865776,1
58176062,157599174,1
28338442,39608776,1
28338442,24903510,1
28338442,136863348,1
28338442,209865776,1
28338442,157599174,1
39608776,24903510,1
39608776,136863348,1
39608776,209865776,1
39608776,157599174,1
78816754,80490424,1
78816754,54045678,1
78816754,87445016,1
9850720,47858632,1
9850720,126450542,1
66332002,7473574,1
86416692,40104474,1
86416692,46217406,1
86416692,107721830,1
26393974,89143926,1
43460940,32399786,1
43460940,20956008,1
43460940,8345350,1
43460940,46801526,1
43460940,40230100,1
43460940,855792,1
43460940,10589900,1
43460940,17224372,1
43460940,8738288,1
43460940,7342716,1
43460940,12863320,1
43460940,12096232,1
43460940,18923700,1
43460940,30866800,1
43460940,12332010,1
43460940,25168084,1
43460940,28215482,1
43460940,3411020,1
43460940,33547362,1
43460940,43485008,1
43460940,27789698,1
43460940,25094456,1
43460940,7623096,1
43460940,979386,1
43460940,10539766,1
43460940,33738094,1
43460940,41381516,1
43460940,41324534,1
43460940,52800456,1
43460940,35194890,1
43460940,29635778,1
43460940,2026480,1
43460940,19399728,1
43460940,12057736,1
43460940,14712230,1
43460940,9838110,1
43460940,10029066,1
43460940,22429374,1
43460940,10818150,1
43460940,39250538,1
43460940,15823578,1
43460940,39185702,1
43460940,50915436,1
43460940,12794196,1
43460940,26262896,1
43460940,6938806,1
43460940,1476080,1
43460940,15742916,1
43460940,23080668,1
43460940,2029332,1
43460940,21842766,1
43460940,35831714,1
43460940,25235146,1
43460940,17830616,1
43460940,698228,1
43460940,28787574,1
43460940,40104474,1
43460940,11528594,1
43460940,36039608,1
43460940,5474014,1
43460940,9769778,1
